@RELATION models/svm_male_female
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE features69 NUMERIC
@ATTRIBUTE features70 NUMERIC
@ATTRIBUTE features71 NUMERIC
@ATTRIBUTE features72 NUMERIC
@ATTRIBUTE features73 NUMERIC
@ATTRIBUTE features74 NUMERIC
@ATTRIBUTE features75 NUMERIC
@ATTRIBUTE features76 NUMERIC
@ATTRIBUTE features77 NUMERIC
@ATTRIBUTE features78 NUMERIC
@ATTRIBUTE features79 NUMERIC
@ATTRIBUTE features80 NUMERIC
@ATTRIBUTE features81 NUMERIC
@ATTRIBUTE features82 NUMERIC
@ATTRIBUTE features83 NUMERIC
@ATTRIBUTE features84 NUMERIC
@ATTRIBUTE features85 NUMERIC
@ATTRIBUTE features86 NUMERIC
@ATTRIBUTE features87 NUMERIC
@ATTRIBUTE features88 NUMERIC
@ATTRIBUTE features89 NUMERIC
@ATTRIBUTE features90 NUMERIC
@ATTRIBUTE features91 NUMERIC
@ATTRIBUTE features92 NUMERIC
@ATTRIBUTE features93 NUMERIC
@ATTRIBUTE features94 NUMERIC
@ATTRIBUTE features95 NUMERIC
@ATTRIBUTE features96 NUMERIC
@ATTRIBUTE features97 NUMERIC
@ATTRIBUTE features98 NUMERIC
@ATTRIBUTE features99 NUMERIC
@ATTRIBUTE features100 NUMERIC
@ATTRIBUTE features101 NUMERIC
@ATTRIBUTE features102 NUMERIC
@ATTRIBUTE features103 NUMERIC
@ATTRIBUTE features104 NUMERIC
@ATTRIBUTE features105 NUMERIC
@ATTRIBUTE features106 NUMERIC
@ATTRIBUTE features107 NUMERIC
@ATTRIBUTE features108 NUMERIC
@ATTRIBUTE features109 NUMERIC
@ATTRIBUTE features110 NUMERIC
@ATTRIBUTE features111 NUMERIC
@ATTRIBUTE features112 NUMERIC
@ATTRIBUTE features113 NUMERIC
@ATTRIBUTE features114 NUMERIC
@ATTRIBUTE features115 NUMERIC
@ATTRIBUTE features116 NUMERIC
@ATTRIBUTE features117 NUMERIC
@ATTRIBUTE features118 NUMERIC
@ATTRIBUTE features119 NUMERIC
@ATTRIBUTE features120 NUMERIC
@ATTRIBUTE features121 NUMERIC
@ATTRIBUTE features122 NUMERIC
@ATTRIBUTE features123 NUMERIC
@ATTRIBUTE features124 NUMERIC
@ATTRIBUTE features125 NUMERIC
@ATTRIBUTE features126 NUMERIC
@ATTRIBUTE features127 NUMERIC
@ATTRIBUTE features128 NUMERIC
@ATTRIBUTE features129 NUMERIC
@ATTRIBUTE features130 NUMERIC
@ATTRIBUTE features131 NUMERIC
@ATTRIBUTE features132 NUMERIC
@ATTRIBUTE features133 NUMERIC
@ATTRIBUTE features134 NUMERIC
@ATTRIBUTE features135 NUMERIC
@ATTRIBUTE features136 NUMERIC
@ATTRIBUTE class {male,female}

@DATA
0.062123,0.048920,3.001845,0.119573,0.148657,0.399740,0.020078,0.090853,-23.942035,2.442818,0.044765,-0.510372,-0.716778,0.160373,-0.289049,0.053703,-0.153714,-0.016843,-0.089525,-0.013940,-0.010686,0.009072,0.003299,0.012340,0.017287,0.014286,0.009218,0.015747,0.002835,0.021447,0.030945,0.026144,0.006878,0.022853,0.000880,-0.000105,0.017429,0.001154,0.000242,0.014938,0.000161,0.002368,0.000150,-0.006935,0.041265,-0.008116,-0.000564,-0.010958,-0.010863,0.003576,0.004760,-0.003343,0.004696,0.006816,0.003301,0.000015,0.000009,0.000020,0.000047,0.000007,-0.000023,0.000251,-0.000045,-0.000101,-0.000081,0.000015,-0.000003,-0.000023,0.064881,0.028034,0.342181,0.064152,0.036671,0.520222,0.015746,0.100548,1.404355,0.912557,1.012220,0.544267,0.472774,0.359534,0.445357,0.320244,0.262700,0.287322,0.249785,0.279446,0.275752,0.011754,0.004567,0.015029,0.029424,0.020460,0.016891,0.018497,0.006327,0.028385,0.031617,0.033750,0.013926,0.013379,0.076992,0.036777,0.431438,0.076445,0.049677,0.594330,0.017233,0.112803,1.931153,0.989454,0.864311,0.583312,0.541880,0.440823,0.451180,0.393303,0.308968,0.319665,0.232334,0.307230,0.329353,0.016894,0.006211,0.017563,0.038273,0.027857,0.021016,0.024416,0.008870,0.037269,0.038463,0.037824,0.019064,0.016644,male
0.039746,0.066565,3.078956,0.108911,0.161485,0.246545,0.016762,0.065007,-23.585812,2.271283,-0.522413,-0.074332,-0.372106,0.414858,-0.086834,-0.085409,-0.080889,0.174841,-0.191801,-0.131635,-0.121074,0.018496,0.002302,0.030400,0.009238,0.019633,0.009122,0.016065,0.001752,0.006585,0.032657,0.024310,0.013135,0.023903,-0.005689,0.005270,0.053427,-0.001433,0.004111,-0.044064,0.000766,-0.006023,-0.073172,0.023687,-0.169161,-0.101799,0.102132,-0.083009,0.049101,-0.034054,-0.009930,0.032098,0.030380,-0.018274,-0.002201,-0.001835,-0.000219,-0.001977,-0.000159,0.002741,-0.000961,-0.001997,-0.000276,-0.000060,-0.000975,-0.002566,-0.001078,0.000414,0.034590,0.033490,0.282369,0.046208,0.038476,0.375439,0.010477,0.073483,1.401213,0.556784,0.737732,0.488500,0.356829,0.384707,0.259856,0.277306,0.242700,0.202231,0.232747,0.192029,0.200216,0.018041,0.003052,0.041010,0.009629,0.016310,0.015774,0.017248,0.002974,0.005641,0.031063,0.024101,0.016109,0.012702,0.046470,0.050529,0.413331,0.056495,0.046445,0.423829,0.013980,0.085866,1.540034,0.661292,0.664989,0.447444,0.495578,0.435125,0.338509,0.344662,0.257872,0.248536,0.277657,0.211442,0.255115,0.025440,0.004653,0.044862,0.014159,0.019985,0.020655,0.023407,0.004418,0.008026,0.038695,0.029926,0.018392,0.016564,male
0.069923,0.013893,2.959264,0.113495,0.123882,0.656752,0.011147,0.115735,-26.212167,1.783392,0.802553,-0.904053,-0.437259,-0.506383,-0.238127,-0.297495,-0.236349,-0.127841,-0.265285,0.074181,-0.085594,0.015937,0.006575,0.014372,0.015190,0.011310,0.031459,0.019278,0.003354,0.012063,0.010798,0.015014,0.004747,0.016967,0.000083,0.000008,0.001206,0.000027,-0.000073,0.000782,0.000017,0.000099,-0.003010,-0.000196,0.004124,-0.001430,0.002673,-0.000895,-0.001327,0.000847,-0.001348,0.000283,-0.000579,-0.000224,-0.000340,-0.000005,-0.000013,-0.000003,0.000023,0.000022,-0.000018,-0.000002,-0.000012,-0.000005,-0.000005,-0.000009,-0.000005,0.000006,0.048061,0.007825,0.310642,0.042630,0.036322,0.399880,0.007078,0.071073,2.709361,1.163809,1.047630,0.575523,0.587546,0.393636,0.396263,0.294401,0.329640,0.265557,0.254536,0.223929,0.217325,0.018737,0.009043,0.017983,0.019028,0.012660,0.036809,0.020580,0.005292,0.015056,0.011657,0.016937,0.005224,0.010670,0.050018,0.009534,0.418161,0.045110,0.045619,0.444276,0.008907,0.076730,2.401182,1.159463,0.865718,0.597951,0.565134,0.399121,0.393727,0.315685,0.360399,0.293268,0.293579,0.253614,0.241193,0.022593,0.010938,0.021001,0.024358,0.015412,0.044672,0.025249,0.006333,0.018989,0.014252,0.020251,0.006622,0.012525,male
0.080324,0.022685,3.031692,0.155201,0.171404,0.607945,0.024711,0.133772,-28.240316,1.955978,0.048662,-0.160776,-0.478148,0.220016,-0.098920,0.165400,0.048539,0.080551,0.187880,-0.043962,0.109011,0.013567,0.007325,0.023211,0.007041,0.021422,0.007765,0.023443,0.003592,0.022919,0.021366,0.014247,0.005458,0.021904,0.000567,0.000302,-0.000480,0.001650,0.002372,0.004855,0.000208,0.001361,1.258166,0.035690,-0.004972,-0.011582,-0.023048,0.017648,-0.007858,0.006330,0.000907,-0.000679,0.000430,0.000236,0.002063,0.000054,0.000107,0.000116,0.000113,-0.002243,0.000312,0.000042,0.000014,0.000028,0.000873,0.000597,0.000149,-0.000502,0.085252,0.019650,0.310634,0.080196,0.041421,0.698928,0.065744,0.151706,8.248411,0.561115,0.728535,0.418880,0.489111,0.342317,0.476619,0.279844,0.236738,0.208730,0.320087,0.267155,0.290502,0.016727,0.009896,0.031618,0.010984,0.029176,0.009554,0.039244,0.005985,0.041649,0.023623,0.018230,0.006609,0.014344,0.085241,0.026732,0.456896,0.079249,0.045141,0.776186,0.094732,0.173984,4.786107,0.636301,0.656338,0.419445,0.460294,0.374724,0.421246,0.288933,0.229424,0.241611,0.293786,0.303047,0.257234,0.023647,0.010416,0.031312,0.014540,0.032174,0.014080,0.052854,0.008799,0.051836,0.028377,0.020355,0.009527,0.016250,male
0.060647,0.025261,3.039606,0.127606,0.161240,0.398743,0.012741,0.091863,-24.053522,2.506122,-0.329107,-0.102341,-0.288276,0.331144,0.031462,0.098426,0.054930,-0.002511,0.022055,0.054738,0.228558,0.014860,0.009120,0.046631,0.016847,0.029192,0.016271,0.018345,0.005062,0.012330,0.014284,0.011182,0.006238,0.023856,0.000726,0.000147,0.034691,0.000953,0.000874,0.007042,0.000175,0.001104,0.047026,-0.043025,0.007266,0.008828,-0.009820,0.009682,0.007961,-0.005685,0.006814,-0.001284,-0.013923,0.000033,0.005149,0.000122,-0.000073,-0.000057,0.000162,0.000402,-0.000323,-0.000528,-0.000303,-0.000249,-0.000345,-0.000141,0.000125,0.000007,0.052852,0.017901,0.280741,0.064019,0.031113,0.538397,0.006694,0.107101,1.380120,0.656961,0.761611,0.362814,0.658040,0.314601,0.275944,0.260115,0.264052,0.271855,0.225442,0.197866,0.189290,0.017550,0.014700,0.048483,0.021554,0.036246,0.023912,0.015808,0.008134,0.021969,0.017031,0.012165,0.006590,0.011772,0.066239,0.025995,0.344455,0.080388,0.035287,0.711981,0.009210,0.140438,1.838367,0.747203,0.736730,0.392172,0.660411,0.343164,0.320679,0.310539,0.341731,0.295322,0.295620,0.247608,0.238958,0.025223,0.021092,0.053790,0.030383,0.047830,0.030319,0.018464,0.011205,0.027360,0.019520,0.016640,0.008731,0.014415,male
0.081602,0.011812,3.050949,0.138391,0.155032,0.653703,0.010061,0.131140,-25.523488,2.624503,-0.162095,-0.223824,-0.155574,0.196222,0.017507,0.162012,0.034459,0.144261,0.044136,0.108001,0.023594,0.018355,0.011053,0.035730,0.009503,0.028195,0.020339,0.017411,0.003686,0.007389,0.011078,0.011666,0.016939,0.021164,0.000809,0.000813,0.025182,0.000276,-0.000021,0.001269,0.000186,0.000106,0.109092,0.003872,-0.010319,-0.024029,0.016359,-0.005725,-0.002985,0.005700,-0.007632,0.000048,-0.009676,-0.008176,-0.002872,-0.000036,0.000007,-0.000680,0.000024,0.001141,0.000012,-0.000446,-0.000107,0.000075,-0.000358,-0.000385,0.000394,0.000251,0.065322,0.010694,0.300270,0.068453,0.028484,0.697730,0.005594,0.125257,1.503867,0.696968,0.806078,0.505485,0.489909,0.310400,0.319313,0.217660,0.259529,0.256357,0.238695,0.209072,0.194317,0.017417,0.018486,0.035398,0.011142,0.035764,0.030152,0.011913,0.004299,0.011127,0.012892,0.011486,0.020504,0.009434,0.062056,0.012783,0.389569,0.069940,0.038315,0.731256,0.007499,0.147544,1.436466,0.744537,0.663183,0.537520,0.501292,0.353310,0.322690,0.303342,0.337046,0.312065,0.278374,0.244561,0.255657,0.023646,0.021355,0.036892,0.014655,0.044903,0.035913,0.015359,0.005490,0.013110,0.018520,0.014281,0.021484,0.011963,male
0.089822,0.023380,3.068752,0.160471,0.172991,0.665834,0.011066,0.142544,-24.324277,2.301138,0.012864,-0.411542,-0.142894,0.259052,-0.056468,0.171629,-0.013403,0.045642,0.029170,0.071457,0.138077,0.012606,0.008855,0.034544,0.013957,0.019836,0.026326,0.021795,0.003913,0.010031,0.014564,0.010172,0.007154,0.021646,0.000068,0.000427,0.026784,0.000173,0.000134,0.001871,0.000237,-0.000635,0.021115,0.018242,0.042874,-0.003893,-0.005021,-0.000144,-0.028898,0.011794,0.009483,0.008280,0.000846,-0.000462,-0.002341,0.000250,0.000076,0.000187,0.000022,-0.000174,0.000209,0.001056,-0.000061,0.000136,0.000077,0.000059,0.000052,0.000137,0.088301,0.017321,0.244192,0.082100,0.029649,0.783482,0.007120,0.160025,1.454961,0.678879,0.856082,0.449781,0.569044,0.353148,0.302578,0.327145,0.311284,0.246775,0.220789,0.206707,0.255289,0.015400,0.013945,0.038471,0.022532,0.022168,0.034017,0.024266,0.008353,0.016355,0.021397,0.011881,0.013136,0.009584,0.098960,0.023218,0.326298,0.086960,0.036783,0.874820,0.008049,0.181898,1.753008,0.741413,0.772077,0.451494,0.660962,0.362018,0.320811,0.363566,0.396580,0.322513,0.251049,0.257084,0.339951,0.021275,0.020926,0.041653,0.030238,0.026597,0.040868,0.030002,0.009778,0.020115,0.028558,0.015486,0.017054,0.009945,male
0.074554,0.014711,3.000690,0.141525,0.159340,0.613120,0.009231,0.120750,-25.047688,2.383459,0.021363,-0.331476,-0.052780,0.253268,0.019490,0.198933,0.065708,0.048519,0.072437,0.014613,-0.033741,0.025206,0.004867,0.047650,0.014961,0.018312,0.009322,0.026106,0.006485,0.009361,0.011242,0.013053,0.012135,0.020370,-0.000008,0.000071,0.025253,-0.001018,-0.000076,-0.007657,0.000081,0.000015,0.033511,0.007497,-0.016652,0.009537,0.005620,0.000186,-0.001316,-0.008920,-0.002171,0.008901,0.004505,-0.001365,-0.001889,0.000284,-0.000117,0.000813,-0.000413,-0.000262,-0.000001,0.000050,0.000126,0.000193,0.000044,-0.000322,-0.000247,0.000129,0.073701,0.014941,0.296965,0.067922,0.023110,0.722751,0.005871,0.132251,1.414195,0.592818,0.691117,0.477724,0.514085,0.269556,0.332899,0.286970,0.282144,0.276673,0.233229,0.224462,0.187146,0.021235,0.005417,0.040583,0.017326,0.017794,0.011529,0.023286,0.012604,0.014802,0.009772,0.012573,0.014787,0.011545,0.082301,0.019707,0.356661,0.069888,0.032093,0.754256,0.007307,0.144833,1.563758,0.690428,0.665826,0.510636,0.482177,0.349708,0.353833,0.345578,0.325023,0.330776,0.284114,0.271326,0.256919,0.030298,0.006814,0.047614,0.023979,0.024270,0.014914,0.031345,0.016776,0.020389,0.013110,0.017363,0.020882,0.014333,male
0.065835,0.016675,2.986522,0.131985,0.161567,0.488258,0.009169,0.099108,-24.582114,2.320618,-0.160384,-0.087273,-0.219560,0.068769,-0.026370,0.292435,0.028218,0.053925,0.115178,0.016441,0.043835,0.023848,0.010972,0.033967,0.010605,0.017997,0.013294,0.017029,0.004474,0.008556,0.013311,0.019848,0.010095,0.018832,0.001119,-0.000106,0.022205,0.000437,-0.000201,0.004811,0.000231,0.000287,0.011256,-0.013411,0.009412,0.019441,0.003752,-0.011928,0.011338,-0.008567,-0.014636,0.008981,0.009254,-0.005824,0.002533,-0.000393,-0.000186,0.000079,-0.000049,0.000260,0.000469,0.000333,-0.000071,-0.000029,0.000138,0.000109,-0.000422,-0.000009,0.061264,0.013947,0.371757,0.059047,0.026974,0.623297,0.005042,0.107274,1.297559,0.578214,0.775878,0.363090,0.510594,0.302200,0.385926,0.381504,0.282650,0.269180,0.200552,0.215987,0.224490,0.027057,0.014140,0.030007,0.014848,0.019345,0.015934,0.016898,0.010730,0.010897,0.013889,0.018656,0.012922,0.009477,0.060335,0.017744,0.435744,0.061662,0.038265,0.613637,0.006318,0.107924,1.480322,0.589408,0.622093,0.417032,0.565479,0.324433,0.362950,0.361161,0.273198,0.305937,0.240661,0.241657,0.227980,0.034320,0.016915,0.036184,0.020954,0.023033,0.020305,0.022003,0.015630,0.014147,0.016158,0.019801,0.017665,0.010921,male
0.071642,0.024799,3.028987,0.144303,0.162198,0.613521,0.010347,0.121113,-24.539878,2.453063,0.172623,-0.214896,-0.307106,0.168020,-0.046204,0.285831,0.112672,0.073066,0.073399,0.041828,0.091613,0.017962,0.004824,0.054132,0.015337,0.017877,0.012373,0.014666,0.001639,0.007314,0.020469,0.022637,0.009259,0.025391,0.000560,0.000651,0.034884,-0.000037,-0.000328,0.005257,0.000269,0.000771,0.038739,-0.014587,0.030812,-0.027457,-0.033791,0.012063,0.001086,0.012982,0.004873,-0.003057,0.003104,0.003047,0.006042,-0.000028,-0.000046,0.000087,0.000493,-0.000067,-0.000080,-0.000291,-0.000054,0.000112,-0.000268,-0.000420,-0.000068,0.000072,0.072600,0.022696,0.327402,0.073773,0.031845,0.712396,0.007598,0.125500,1.411658,0.594293,0.757061,0.493658,0.521460,0.274584,0.312813,0.369812,0.346284,0.269340,0.273579,0.269651,0.235095,0.020535,0.005315,0.054954,0.023657,0.019868,0.021513,0.013884,0.001501,0.009905,0.023837,0.028315,0.015865,0.012705,0.080800,0.029205,0.434399,0.071290,0.034813,0.767250,0.008170,0.138837,1.432299,0.696401,0.638153,0.423821,0.500562,0.272117,0.330728,0.374347,0.332919,0.268283,0.289272,0.299932,0.315087,0.030219,0.006762,0.047997,0.030047,0.025581,0.030806,0.015873,0.001952,0.013208,0.024333,0.034137,0.021849,0.014950,male
